Sequential Size,Sequential Time(milliseconds),Binary Time(milliseconds),SearchType
1000,1.6152,0.0843,NotInVec
1000,0.7621,0.0795,InVec
2000,3.1706,0.094,NotInVec
2000,1.6333,0.0876,InVec
5000,8.003,0.1044,NotInVec
5000,4.2042,0.097,InVec
10000,16.7267,0.1143,NotInVec
10000,8.4512,0.1059,InVec
20000,32.965,0.124,NotInVec
20000,17.0808,0.1163,InVec
50000,81.9785,0.1405,NotInVec
50000,42.3915,0.1336,InVec
100000,166.2185,0.1542,NotInVec
100000,83.9574,0.1435,InVec
200000,345.3558,0.1649,NotInVec
200000,171.6071,0.154,InVec
500000,930.3724,0.1912,NotInVec
500000,450.622,0.1729,InVec
1000000,1865.9492,0.2988,NotInVec
1000000,907.8757,0.2092,InVec